servei,variable,run,ok,missatge
arome0025,U_COMPONENT_OF_WIND_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,U_COMPONENT_OF_WIND__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,V_COMPONENT_OF_WIND_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,V_COMPONENT_OF_WIND__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,WET_BULB_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,VISIBILITY_MINI_PRECIP_60MIN__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,VISIBILITY_MINI_60MIN__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 502
arome001,GEOMETRIC_HEIGHT__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,BRIGHTNESS_TEMPERATURE__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 502
arome001,CONVECTIVE_AVAILABLE_POTENTIAL_ENERGY__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,CONVECTIVE_INHIBITION__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 502
arome001,PRECIPITABLE_WATER__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,TOTAL_WATER_PRECIPITATION__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,WIND_SPEED_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,WIND_SPEED__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,SHORT_WAVE_RADIATION_FLUX_CLEAR_SKY__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 502
arome001,SENSIBLE_HEAT_NET_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,DOWNWARD_DIRECT_SHORT_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,DOWNWARD_SHORT_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,DOWNWARD_LONG_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,LONG_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,GRAUPEL__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,HAIL__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,SNOW_DEPTH__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,RELATIVE_HUMIDITY__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,PLANETARY_BOUNDARY_LAYER_HEIGHT__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,AVERAGE_LIGHTNING_STRIKE_DENSITY_OVER_3HOURS__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,LIGHTNING_STRIKE_DENSITY_CUMULATED__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,MEAN_LAYER_CAPE__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,LOW_CLOUD_COVER__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,HIGH_CLOUD_COVER__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,MEDIUM_CLOUD_COVER__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,TOTAL_CLOUD_COVER__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,TOTAL_SNOW_PRECIPITATION__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,TOTAL_PRECIPITATION__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,SEVERE_PRECIPITATION_TYPE_60_MIN__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,PRECIPITATION_TYPE_60_MIN__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,PRESSURE__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,PRESSURE__MEAN_SEA_LEVEL,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,WATER_EQUIVALENT_ACCUMULATED_SNOW__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,REFLECTIVITY_MAX_DBZ__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,REFLECTIVITY_MAX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,DEW_POINT_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,TEMPERATURE__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,U_COMPONENT_OF_WIND_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,U_COMPONENT_OF_WIND__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,V_COMPONENT_OF_WIND_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,V_COMPONENT_OF_WIND__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,WET_BULB_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome001,VISIBILITY_MINI_PRECIP_60MIN__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
arome001,VISIBILITY_MINI_60MIN__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
aromepi,GEOMETRIC_HEIGHT__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,BRIGHTNESS_TEMPERATURE__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
aromepi,CONVECTIVE_AVAILABLE_POTENTIAL_ENERGY__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
aromepi,CONVECTIVE_INHIBITION__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,PRECIPITABLE_WATER__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,TOTAL_WATER_PRECIPITATION__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,WIND_SPEED_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,WIND_SPEED__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,SHORT_WAVE_RADIATION_FLUX_CLEAR_SKY__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,SENSIBLE_HEAT_NET_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,DOWNWARD_DIRECT_SHORT_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,DOWNWARD_SHORT_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,DOWNWARD_LONG_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,LONG_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,GRAUPEL__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,HAIL__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,SNOW_DEPTH__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,RELATIVE_HUMIDITY__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,PLANETARY_BOUNDARY_LAYER_HEIGHT__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,AVERAGE_LIGHTNING_STRIKE_DENSITY_OVER_3HOURS__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,LIGHTNING_STRIKE_DENSITY_CUMULATED__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,MEAN_LAYER_CAPE__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,LOW_CLOUD_COVER__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
aromepi,HIGH_CLOUD_COVER__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,MEDIUM_CLOUD_COVER__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,TOTAL_CLOUD_COVER__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,TOTAL_SNOW_PRECIPITATION__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,TOTAL_PRECIPITATION__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,SEVERE_PRECIPITATION_TYPE_60_MIN__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,PRECIPITATION_TYPE_60_MIN__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,PRESSURE__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,PRESSURE__MEAN_SEA_LEVEL,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,WATER_EQUIVALENT_ACCUMULATED_SNOW__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,REFLECTIVITY_MAX_DBZ__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
aromepi,REFLECTIVITY_MAX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,DEW_POINT_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,TEMPERATURE__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 86391/86391 punts vàlids
aromepi,TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,U_COMPONENT_OF_WIND_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,U_COMPONENT_OF_WIND__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,V_COMPONENT_OF_WIND_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,V_COMPONENT_OF_WIND__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,WET_BULB_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,VISIBILITY_MINI_PRECIP_60MIN__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
aromepi,VISIBILITY_MINI_60MIN__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
